trial_number,value,rmse,state,seq_length,lr,kernel_size,dropout,n_ch1,n_ch2,weight_decay,n_ch3,batch_size
31,0.0008817133538721274,0.029693658479078112,COMPLETE,3600,0.0006277689984266229,4,0.009197643374449394,80,64,3.471906147598874e-06,112,128
32,0.0007734838605011385,0.027811577813945373,COMPLETE,3600,0.0002708724192393274,4,0.0013925828570773735,80,80,1.5755287425585942e-06,96,192
33,0.0018750077582210087,0.04330135977334902,PRUNED,4200,0.00029840485945798796,4,0.06585097660265277,64,64,7.862804424368475e-06,96,192
34,0.0019779585083833004,0.044474245450409844,PRUNED,3600,0.00023911952158684962,4,0.048050274723695774,48,96,4.537880377523157e-06,128,128
35,0.0018893400207243716,0.04346653909301236,PRUNED,4200,0.0001637443571936433,5,0.0898790890560262,80,48,2.6464095766683067e-06,96,224
36,0.0019277018765439667,0.04390560188112636,PRUNED,4800,0.00010045839221380253,4,0.007908243804963527,64,128,1.4299336676631166e-06,112,192
37,0.002124040579231225,0.04608731473226906,PRUNED,3600,0.0005673736063405842,3,0.06574561088130616,32,80,5.1035572356828175e-06,128,128
38,0.0027322380630369655,0.052270814639117355,PRUNED,7200,0.00022990543983734214,4,0.039301315104060895,48,96,2.5350583782371642e-05,80,256
39,0.002018778681314464,0.04493082106210017,PRUNED,6000,0.0012875479624143017,5,0.20192954582666137,112,64,1.5453899372611664e-06,96,320
40,0.0037730359800920267,0.06142504359047722,PRUNED,4800,0.00012889213425773885,3,0.3231517648791616,80,112,0.0009216698998819303,64,64
41,0.0014530863902860794,0.03811937027662025,PRUNED,3600,0.0004630158762145642,4,0.033653172144249045,80,80,2.471512357657474e-06,112,160
42,0.0007842983858134794,0.028005327811212625,COMPLETE,3600,0.0007696769816095311,4,0.0009207440762939286,96,80,1.2728498482320988e-06,112,192
43,0.002662775724184884,0.05160209030828968,PRUNED,3600,0.00799436862544322,4,0.0008947582067276412,96,64,1.3914399155527705e-06,128,224
44,0.002427919710889703,0.04927392526366966,PRUNED,4200,0.0008053750890284748,4,0.2912064641676639,96,96,2.298030656779573e-06,96,288
45,0.002097114452165562,0.04579426221881473,PRUNED,3600,0.0019579743537697096,4,0.084314780447261,112,48,6.501085241302632e-06,112,192
46,0.002076931339895688,0.04557336217458273,PRUNED,3600,0.0003203768602766527,4,0.10507839172566516,96,64,9.657340247830459e-06,128,128
47,0.000669027315008713,0.02586556233698995,COMPLETE,4800,0.0001772147618278108,5,0.0005148079734118756,64,80,1.3062247679724961e-06,80,224
48,0.0006930687334225666,0.02632619861321734,COMPLETE,5400,0.00017913145221268135,5,0.060541517692361324,64,96,3.5809734387900044e-06,80,64
49,0.0008226458645252153,0.028681803718127896,COMPLETE,5400,0.00018062060290612394,5,0.05935585053206294,48,112,3.3884931524695688e-06,64,32
